# Mass range = (M200b>1.5e12)&(M200b<2e12) 
#  X Y Z M200b M200c tidal_anisotropy
4.095575999999999794e+01 3.480809999999999960e+00 8.149971999999999639e+01 1.585400000000000000e+12 1.288400000000000000e+12 5.473790429605184249e-01
4.559711999999999676e+01 1.074939999999999962e+01 5.201688000000000045e+01 1.596200000000000000e+12 1.296000000000000000e+12 5.779742083751611137e-01
5.219789999999999708e+00 4.907188000000000017e+01 6.817667000000000144e+01 1.555700000000000000e+12 1.259200000000000000e+12 1.328888458747804202e-01
4.157762000000000313e+01 4.558079000000000036e+01 9.193984000000000378e+01 1.582300000000000000e+12 1.259200000000000000e+12 3.381811628636660072e-01
2.461001999999999867e+01 2.074478999999999829e+01 6.371092999999999762e+01 1.536000000000000000e+12 1.298500000000000000e+12 7.626526985983873852e-02
4.339954000000000178e+01 2.905041999999999902e+01 7.348430999999999358e+01 1.596200000000000000e+12 1.270600000000000000e+12 1.792985041575661798e-01
4.353074999999999761e+01 4.577418999999999727e+01 6.765117999999999654e+01 1.597500000000000000e+12 1.228800000000000000e+12 3.053169031340705053e-01
7.485529999999999795e+00 4.532989999999999853e+00 8.456690000000000396e+01 1.580400000000000000e+12 1.230700000000000000e+12 6.102450941957597852e-01
2.965050000000000185e+00 3.754697000000000173e+01 9.328619000000000483e+01 1.571500000000000000e+12 1.227500000000000000e+12 3.918059013785291644e-01
1.048395999999999972e+01 1.377551000000000059e+01 7.276623999999999626e+01 1.581000000000000000e+12 1.176900000000000000e+12 2.703368009146375761e-01
1.245506999999999920e+01 4.276778999999999797e+01 8.468949000000000638e+01 1.521400000000000000e+12 1.265600000000000000e+12 1.185957665605838596e+00
2.705675000000000097e+01 8.095919999999999561e+00 5.924992000000000303e+01 1.566400000000000000e+12 1.237000000000000000e+12 2.356931756726250160e-01
1.879007000000000005e+01 4.049045000000000272e+01 9.665424000000000149e+01 1.558800000000000000e+12 1.250300000000000000e+12 3.541002140772128159e-01
7.612059999999999604e+00 4.381318999999999875e+01 9.787736999999999910e+01 1.555000000000000000e+12 1.193300000000000000e+12 2.087423399528260670e-01
4.737371999999999872e+01 3.401577999999999946e+01 5.349085999999999785e+01 1.555700000000000000e+12 1.234500000000000000e+12 7.464877676189934919e-01
4.818849000000000160e+01 2.025141999999999953e+01 5.168847000000000236e+01 1.519500000000000000e+12 1.117300000000000000e+12 5.945367932252937360e-01
4.274289999999999701e+00 1.131499999999999950e+00 6.298720999999999748e+01 1.525200000000000000e+12 1.204700000000000000e+12 4.609485125526752713e-01
8.921499999999999986e-01 3.266277999999999793e+01 8.526327000000000567e+01 1.573400000000000000e+12 9.798800000000000000e+11 2.216393368015758258e-01
2.333045999999999864e+01 3.087753000000000014e+01 7.561718999999999369e+01 1.550600000000000000e+12 1.130600000000000000e+12 3.292608612055224482e-01
3.984546000000000276e+01 1.531376000000000026e+01 8.122781000000000518e+01 1.558200000000000000e+12 1.101500000000000000e+12 6.243551387289909549e-01
3.410092000000000212e+01 1.349713999999999992e+01 9.701457999999999515e+01 1.532800000000000000e+12 1.185700000000000000e+12 1.416211306713346108e-01
4.245575000000000188e+01 2.562154999999999916e+01 7.498541000000000167e+01 1.533500000000000000e+12 1.191400000000000000e+12 6.439014410264251032e-01
4.629368999999999801e+01 2.693216999999999928e+01 5.618187999999999960e+01 1.507500000000000000e+12 9.830500000000000000e+11 4.464630719645871215e-01
1.420031999999999961e+01 2.999726000000000070e+01 9.290618000000000620e+01 1.536000000000000000e+12 1.043900000000000000e+12 2.811489686364595508e-01
1.187975999999999921e+01 4.104422000000000281e+01 8.470328999999999553e+01 1.518900000000000000e+12 1.121100000000000000e+12 5.041523253596955634e-01
1.003899000000000008e+01 3.625307999999999709e+01 7.027324000000000126e+01 1.541100000000000000e+12 1.179400000000000000e+12 5.348773454148729456e-02
4.166172999999999860e+01 2.210974999999999824e+01 7.629252999999999929e+01 1.508800000000000000e+12 1.135100000000000000e+12 3.991877066301341981e-01
4.707121000000000066e+01 2.308600000000000096e-01 7.521031000000000688e+01 1.550600000000000000e+12 1.078700000000000000e+12 1.273134751017947763e-01
4.821721999999999753e+01 3.677532999999999674e+01 5.925802999999999798e+01 1.546200000000000000e+12 9.298400000000000000e+11 4.015388642775784556e-01
4.531665000000000276e+01 1.284159000000000006e+01 1.496627000000000010e+02 1.567100000000000000e+12 1.258600000000000000e+12 5.860462126200558508e-01
9.971249999999999503e+00 2.117285000000000039e+01 1.229376599999999939e+02 1.571500000000000000e+12 1.243400000000000000e+12 3.104810716540026827e-01
2.908949999999999925e+00 3.766297999999999746e+01 1.468255200000000116e+02 1.574700000000000000e+12 1.192700000000000000e+12 1.898841756259082580e-01
4.032507999999999981e+01 3.138128000000000029e+01 1.459180900000000065e+02 1.533500000000000000e+12 1.225600000000000000e+12 1.505138589998213372e-01
1.590999999999999970e+00 3.006899999999999906e+00 1.072207599999999985e+02 1.556900000000000000e+12 1.217400000000000000e+12 1.605429581359879287e-01
1.889371999999999829e+01 2.274871999999999872e+01 1.283004799999999932e+02 1.565800000000000000e+12 1.199000000000000000e+12 4.450834313443992607e-01
3.702584000000000231e+01 4.613526000000000238e+01 1.300914899999999932e+02 1.522100000000000000e+12 1.146500000000000000e+12 2.603609709868884847e-01
1.607499999999999929e+01 6.471359999999999779e+00 1.309955099999999959e+02 1.525900000000000000e+12 1.195200000000000000e+12 9.314414474778222042e-01
2.648330000000000073e+00 9.098629999999999995e+00 1.261912800000000061e+02 1.588000000000000000e+12 1.127500000000000000e+12 3.330318453451344696e-01
1.596217000000000041e+01 8.333809999999999718e+00 1.405486500000000092e+02 1.527800000000000000e+12 1.227500000000000000e+12 3.080355519801409869e-01
1.141159999999999952e+00 4.797704999999999842e+01 1.085303100000000001e+02 1.581000000000000000e+12 1.008400000000000000e+12 5.860071543550902096e-01
2.489283000000000001e+01 2.111701000000000050e+01 1.289890599999999949e+02 1.532800000000000000e+12 1.135700000000000000e+12 5.014261033147494606e-01
3.114016000000000162e+01 3.614459000000000088e+01 1.222196500000000015e+02 1.548700000000000000e+12 1.128100000000000000e+12 2.235538889375623672e-01
3.809400000000000119e+00 3.273499999999999743e-01 1.115592000000000041e+02 1.508100000000000000e+12 1.140800000000000000e+12 8.291318582701902307e-02
8.986699999999999688e-01 3.322960000000000136e+00 1.143235300000000052e+02 1.502400000000000000e+12 1.083800000000000000e+12 8.484008617504446015e-01
2.338234999999999886e+01 9.665179999999999438e+00 1.388600900000000138e+02 1.526500000000000000e+12 1.037500000000000000e+12 2.162194062414964368e-01
2.735596999999999923e+01 2.827087999999999823e+01 1.492837800000000072e+02 1.558800000000000000e+12 1.011600000000000000e+12 5.540369001051227427e-01
3.083396000000000114e+01 8.874940000000000495e+00 1.396792399999999930e+02 1.538600000000000000e+12 1.033700000000000000e+12 1.857630907157573341e-01
4.324826000000000192e+01 2.177051000000000158e+01 1.361346900000000062e+02 1.537900000000000000e+12 5.966700000000000000e+11 7.424531183921985189e-01
2.941504000000000119e+01 4.784924999999999784e+01 1.591483499999999935e+02 1.575300000000000000e+12 1.285200000000000000e+12 5.529752825064574440e-01
1.748335000000000150e+01 3.375186000000000064e+01 1.791041299999999978e+02 1.570200000000000000e+12 1.290900000000000000e+12 1.534827846549963626e+00
1.683802000000000021e+01 4.975896000000000186e+01 1.907539199999999937e+02 1.595600000000000000e+12 1.284600000000000000e+12 2.854699082493546425e-01
1.514723000000000042e+01 2.278600000000000070e-01 1.915838999999999999e+02 1.534700000000000000e+12 1.285200000000000000e+12 3.752036048144807845e-01
3.271056000000000097e+01 3.181636999999999915e+01 1.545808600000000013e+02 1.588000000000000000e+12 1.236400000000000000e+12 1.112411785168505141e+00
3.021338000000000079e+01 2.091531000000000162e+01 1.879027600000000007e+02 1.530300000000000000e+12 1.310500000000000000e+12 3.510843111726260068e-01
3.958144000000000062e+01 2.960101999999999833e+01 1.981522500000000093e+02 1.584800000000000000e+12 1.116100000000000000e+12 1.390676978561599664e-01
3.416358999999999924e+01 1.344856000000000051e+01 1.810189799999999991e+02 1.570200000000000000e+12 1.180000000000000000e+12 2.687230401681855452e-01
4.270209999999999617e+00 4.962682000000000215e+01 1.718529800000000023e+02 1.521400000000000000e+12 1.264900000000000000e+12 1.058446306886062116e+00
5.602159999999999584e+00 4.792056999999999789e+01 1.731618200000000058e+02 1.569600000000000000e+12 1.205400000000000000e+12 1.180457229655077045e+00
1.490958000000000006e+01 4.039594999999999914e+01 1.620776999999999930e+02 1.559500000000000000e+12 1.207300000000000000e+12 1.565794393529224005e-01
2.205013999999999896e+01 1.470654000000000039e+01 1.800230099999999993e+02 1.525900000000000000e+12 1.123700000000000000e+12 7.336707462831126847e-01
4.465782999999999703e+01 1.371256999999999948e+01 1.529724999999999966e+02 1.536600000000000000e+12 1.246500000000000000e+12 9.015608024277548260e-01
1.718725999999999843e+01 3.899873999999999796e+01 1.674333200000000090e+02 1.507500000000000000e+12 1.222500000000000000e+12 2.231789710464233689e-01
4.178788000000000125e+01 4.308892999999999773e+01 1.551985200000000020e+02 1.523300000000000000e+12 1.169300000000000000e+12 1.569803462627964719e-01
1.817509999999999959e+00 1.793373000000000062e+01 1.986416800000000080e+02 1.509400000000000000e+12 1.163600000000000000e+12 4.304077433769005756e-01
2.232381000000000171e+01 3.524656999999999840e+01 1.997891799999999876e+02 1.511300000000000000e+12 1.143300000000000000e+12 1.031627197421980613e+00
2.511354000000000042e+01 3.705619000000000085e+01 1.859930400000000077e+02 1.575300000000000000e+12 1.135100000000000000e+12 3.202919331383779489e-01
4.385000000000000009e-02 1.368336000000000041e+01 1.626946100000000115e+02 1.533500000000000000e+12 1.101500000000000000e+12 1.387130440308089740e-01
9.805680000000000618e+00 3.541243000000000052e+01 1.850443600000000117e+02 1.501800000000000000e+12 1.150300000000000000e+12 5.520797512962769549e-01
9.048899999999999721e+00 3.255642999999999887e+01 1.610141900000000135e+02 1.537900000000000000e+12 1.046400000000000000e+12 7.213795414151209506e-01
1.746304999999999907e+01 4.773525999999999669e+01 1.647174400000000105e+02 1.539200000000000000e+12 9.399800000000000000e+11 3.465833180156490112e-01
8.246209999999999596e+00 6.174730999999999881e+01 2.571781000000000006e+01 1.581600000000000000e+12 1.341600000000000000e+12 4.052166338703451220e-01
4.465084000000000231e+01 8.403834000000000515e+01 4.178482000000000340e+01 1.593000000000000000e+12 1.346000000000000000e+12 4.939509039979829708e-01
1.547087999999999930e+01 8.625384999999999991e+01 4.966288000000000125e+01 1.581000000000000000e+12 1.274400000000000000e+12 2.713399331525434000e-01
3.339157000000000153e+01 9.375011000000000649e+01 4.090366000000000213e+01 1.575900000000000000e+12 1.266200000000000000e+12 2.249189233254210052e+00
3.983691999999999922e+01 5.567152000000000100e+01 4.471132999999999669e+01 1.532200000000000000e+12 1.171800000000000000e+12 3.891003869552117078e-01
4.645212999999999681e+01 8.402119000000000426e+01 4.667517000000000138e+01 1.573400000000000000e+12 1.228800000000000000e+12 2.633959224859323545e-01
6.481010000000000382e+00 7.219795000000000584e+01 3.889081000000000188e+01 1.543600000000000000e+12 1.200300000000000000e+12 3.580045717420921036e-01
3.140321000000000140e+01 7.346587999999999852e+01 3.028771000000000058e+01 1.537300000000000000e+12 1.126800000000000000e+12 1.674947717764998234e-01
2.035347000000000151e+01 9.352888000000000090e+01 4.543677999999999884e+01 1.554400000000000000e+12 1.196500000000000000e+12 1.543255303157796965e-01
1.204719000000000051e+01 8.300217000000000667e+01 4.646697000000000344e+01 1.565800000000000000e+12 1.095800000000000000e+12 1.858989531820961216e-01
4.239450000000000074e+01 8.715891000000000588e+01 2.525236999999999910e+01 1.534100000000000000e+12 9.925500000000000000e+11 2.235274124340446145e-01
1.639900000000000091e+01 8.224781000000000120e+01 1.121094000000000079e+01 1.506900000000000000e+12 1.169300000000000000e+12 2.906013351392385258e-01
1.713200000000000056e+00 7.333137000000000683e+01 4.486621000000000237e+01 1.543600000000000000e+12 1.070500000000000000e+12 9.383564292706249310e-02
9.526030000000000442e+00 5.957184999999999775e+01 6.214649999999999785e+00 1.539800000000000000e+12 1.094500000000000000e+12 1.052194992892211273e-01
2.658588999999999913e+01 7.011627000000000010e+01 8.424566000000000088e+01 1.582300000000000000e+12 1.364400000000000000e+12 6.135908884133630670e-01
3.576711999999999847e+01 7.505684999999999718e+01 9.138501999999999725e+01 1.570200000000000000e+12 1.285800000000000000e+12 1.670860348153751507e-01
7.708129999999999704e+00 7.238832999999999629e+01 6.200245000000000317e+01 1.586100000000000000e+12 1.323800000000000000e+12 5.270977365888127597e-01
3.085238999999999976e+01 8.068079000000000178e+01 6.504121999999999559e+01 1.577200000000000000e+12 1.325100000000000000e+12 5.722934550254551445e-01
3.586690999999999718e+01 6.367701999999999884e+01 5.481119999999999948e+01 1.587300000000000000e+12 1.308000000000000000e+12 2.580991375542358024e-01
2.431664999999999921e+01 6.027018000000000342e+01 6.811141999999999541e+01 1.522100000000000000e+12 1.299100000000000000e+12 7.136159442619598448e-01
2.362713000000000108e+01 5.456092999999999904e+01 9.292489999999999384e+01 1.549300000000000000e+12 1.307400000000000000e+12 1.905804761361817312e-01
2.061870000000000047e+01 6.347617999999999938e+01 7.188527000000000555e+01 1.567100000000000000e+12 1.256000000000000000e+12 3.654832532513884735e-01
2.120701000000000036e+01 5.766660999999999859e+01 7.648649000000000342e+01 1.506200000000000000e+12 1.312400000000000000e+12 4.175726597719854327e-01
3.831479000000000212e+01 7.056650999999999385e+01 5.276579999999999870e+01 1.518300000000000000e+12 1.289600000000000000e+12 2.107564905131052324e+00
4.647449000000000296e+01 9.835020000000000095e+01 5.842938999999999794e+01 1.575300000000000000e+12 1.242700000000000000e+12 2.497654144657701358e-01
1.547391000000000005e+01 8.104864999999999498e+01 8.503763999999999612e+01 1.569600000000000000e+12 1.263000000000000000e+12 1.011753513237382135e-01
2.603044999999999831e+01 7.225088999999999828e+01 7.007592999999999961e+01 1.529700000000000000e+12 1.245300000000000000e+12 3.173456209172110798e-01
4.091062000000000154e+01 9.474635999999999569e+01 5.507383000000000095e+01 1.554400000000000000e+12 1.198400000000000000e+12 3.418804318108866203e-01
2.374799000000000149e+01 5.704449000000000325e+01 6.893742000000000303e+01 1.512600000000000000e+12 1.258600000000000000e+12 3.726463911799107187e-01
1.380885999999999925e+01 6.807689999999999486e+01 9.081334999999999980e+01 1.563900000000000000e+12 1.244600000000000000e+12 8.846587423874269218e-01
1.466541999999999923e+01 7.896850999999999487e+01 5.551758000000000237e+01 1.524000000000000000e+12 1.178100000000000000e+12 2.767828422497974894e-01
1.350859999999999950e+00 7.048299000000000092e+01 9.877949999999999875e+01 1.582300000000000000e+12 1.062200000000000000e+12 2.702230945978015830e-01
3.382759000000000071e+01 5.929469000000000278e+01 5.334064999999999657e+01 1.585400000000000000e+12 1.147100000000000000e+12 1.659016493988778040e-01
1.920907000000000053e+01 6.404446000000000083e+01 7.563034000000000390e+01 1.551900000000000000e+12 1.208500000000000000e+12 6.296078458872369499e-01
5.279749999999999943e+00 5.204673999999999978e+01 8.482555999999999585e+01 1.503100000000000000e+12 1.249700000000000000e+12 2.502919168682211093e-01
4.271251999999999782e+01 9.141504999999999370e+01 7.714821999999999491e+01 1.501800000000000000e+12 1.269400000000000000e+12 1.386745222502187014e-01
2.667755000000000010e+01 8.624141000000000190e+01 6.035544999999999760e+01 1.553100000000000000e+12 1.149600000000000000e+12 4.552162777823600681e-01
4.894077999999999662e+01 7.191366999999999621e+01 9.599846999999999753e+01 1.563900000000000000e+12 1.175000000000000000e+12 4.237801830744181708e-01
1.029873000000000083e+01 9.181598999999999933e+01 9.838284000000000162e+01 1.550000000000000000e+12 1.194000000000000000e+12 3.324910836204388320e-01
4.379460999999999871e+01 6.284971000000000174e+01 5.437769999999999726e+01 1.550600000000000000e+12 1.167400000000000000e+12 1.954839726656372845e+00
2.637302000000000035e+01 8.821805000000000518e+01 6.085370999999999952e+01 1.527800000000000000e+12 1.087600000000000000e+12 3.168849346869471728e-01
5.327169999999999739e+00 9.325194999999999368e+01 9.716124999999999545e+01 1.550000000000000000e+12 1.099600000000000000e+12 3.051209123596044792e-01
3.040190000000000126e+01 8.143362999999999374e+01 1.215292699999999968e+02 1.548100000000000000e+12 1.372000000000000000e+12 5.782322486432078801e-01
2.732779000000000025e+01 8.613926999999999623e+01 1.091637300000000010e+02 1.591100000000000000e+12 1.308600000000000000e+12 1.624151356033087357e+00
3.350806000000000040e+01 8.730750999999999351e+01 1.480060300000000097e+02 1.581600000000000000e+12 1.299800000000000000e+12 3.761460885911109275e-01
2.283449999999999847e+01 5.143111999999999995e+01 1.391134600000000034e+02 1.560100000000000000e+12 1.299800000000000000e+12 2.376345279379400710e-01
4.258639999999999759e+01 7.056770000000000209e+01 1.082810800000000029e+02 1.586100000000000000e+12 1.169300000000000000e+12 3.201268129645457039e-01
4.217546999999999713e+01 7.928467000000000553e+01 1.101042099999999948e+02 1.542400000000000000e+12 1.193300000000000000e+12 3.996842167085029596e-01
4.251075000000000159e+01 8.744407999999999959e+01 1.347361999999999966e+02 1.582900000000000000e+12 1.187000000000000000e+12 1.219809027237690746e-01
1.279385000000000083e+01 5.343032999999999788e+01 1.121159200000000027e+02 1.501200000000000000e+12 1.280100000000000000e+12 3.323048621988076157e-01
3.426332000000000022e+01 8.761275999999999442e+01 1.118726300000000009e+02 1.542400000000000000e+12 1.179400000000000000e+12 2.164629306351211202e+00
3.149802999999999997e+01 8.670453999999999439e+01 1.129300199999999990e+02 1.508100000000000000e+12 1.265600000000000000e+12 2.695291154088704566e+00
2.221027000000000129e+01 8.798054999999999382e+01 1.470759099999999933e+02 1.583500000000000000e+12 1.139500000000000000e+12 1.115675628110705642e+00
1.532471999999999923e+01 8.627661000000000513e+01 1.329792300000000012e+02 1.508800000000000000e+12 1.193300000000000000e+12 4.236247458415552947e-01
1.401399999999999935e+01 8.769540999999999542e+01 1.007968699999999984e+02 1.541700000000000000e+12 1.155300000000000000e+12 5.693364832804350684e-01
4.840700999999999965e+01 7.205772000000000332e+01 1.127275199999999984e+02 1.579100000000000000e+12 1.144600000000000000e+12 3.832252038522444559e-01
4.404265000000000185e+01 9.890439999999999543e+01 1.128755299999999977e+02 1.503100000000000000e+12 1.211700000000000000e+12 4.709468387564547665e-01
2.362867999999999924e+01 9.999799000000000149e+01 1.495846400000000074e+02 1.594900000000000000e+12 1.140100000000000000e+12 2.338145663900256244e-01
4.038219000000000136e+01 7.868510999999999456e+01 1.305680999999999869e+02 1.559500000000000000e+12 1.202200000000000000e+12 6.209308677530508414e-01
4.410824000000000211e+01 6.799867000000000417e+01 1.254814499999999953e+02 1.566400000000000000e+12 9.982500000000000000e+11 2.288856627256743992e-01
6.644580000000000375e+00 5.704247999999999763e+01 1.120922900000000055e+02 1.511900000000000000e+12 1.226900000000000000e+12 9.388296278073369194e-01
7.656159999999999854e+00 5.472447999999999979e+01 1.471458900000000085e+02 1.582900000000000000e+12 1.092000000000000000e+12 4.352129305745282561e-01
2.998642999999999859e+01 6.501291999999999405e+01 1.246426500000000033e+02 1.546200000000000000e+12 1.096400000000000000e+12 1.926948097195614884e-01
2.214754999999999896e+01 8.538224999999999909e+01 1.107684899999999999e+02 1.524000000000000000e+12 8.215300000000000000e+11 1.120036646341460385e+00
3.971806999999999732e+01 7.781216999999999473e+01 1.217026699999999977e+02 1.585400000000000000e+12 1.163600000000000000e+12 6.064590577871518118e-01
2.122077000000000169e+01 8.154175999999999647e+01 1.257029500000000013e+02 1.508800000000000000e+12 1.159800000000000000e+12 9.291767348646130520e-01
4.742499999999999716e+00 7.434759999999999991e+01 1.475966500000000110e+02 1.544900000000000000e+12 9.127400000000000000e+11 2.464725028956691322e-01
4.016792999999999836e+01 6.575880999999999688e+01 1.241149900000000059e+02 1.503100000000000000e+12 1.112300000000000000e+12 5.448549713325104848e-01
3.463033999999999679e+01 7.820766000000000417e+01 1.199846500000000020e+02 1.540500000000000000e+12 1.045100000000000000e+12 9.708052970735714382e-01
1.541147999999999918e+01 5.620479999999999876e+01 1.116441700000000026e+02 1.544900000000000000e+12 1.050800000000000000e+12 3.496846528957807676e-01
2.436220000000000141e+01 5.492376000000000147e+01 1.367941099999999892e+02 1.525200000000000000e+12 1.077400000000000000e+12 4.954986311163227519e-01
1.310552999999999990e+01 9.846687000000000012e+01 1.091998099999999994e+02 1.525900000000000000e+12 1.004000000000000000e+12 2.006830128949383674e-01
1.920364999999999966e+01 8.412847999999999615e+01 1.437130300000000034e+02 1.509400000000000000e+12 1.073000000000000000e+12 6.424465422840971440e-01
1.384362999999999921e+01 6.506597999999999615e+01 1.160133399999999995e+02 1.558200000000000000e+12 9.735500000000000000e+11 2.814874513473323847e-01
1.285807999999999929e+01 9.744337000000000160e+01 1.652244000000000028e+02 1.597500000000000000e+12 1.370700000000000000e+12 2.364716089942716648e-01
2.447966999999999871e+01 9.721783999999999537e+01 1.569820300000000088e+02 1.582300000000000000e+12 1.373900000000000000e+12 5.911771294641545715e-01
3.025299000000000049e+01 8.650028000000000361e+01 1.902639800000000037e+02 1.589200000000000000e+12 1.123700000000000000e+12 1.142935172204092575e-01
2.403741000000000128e+01 5.546858000000000288e+01 1.824550000000000125e+02 1.583500000000000000e+12 1.270600000000000000e+12 1.712230781197158769e-01
2.114930000000000199e+00 7.705170999999999992e+01 1.523731500000000096e+02 1.599400000000000000e+12 1.214200000000000000e+12 9.369275387830213742e-01
4.053952000000000311e+01 7.136700000000000443e+01 1.675304399999999987e+02 1.586700000000000000e+12 1.224400000000000000e+12 3.222523533779279581e-01
2.934510999999999825e+01 9.748935000000000173e+01 1.841840799999999945e+02 1.590500000000000000e+12 1.169300000000000000e+12 3.420469230518617954e-01
1.108935999999999922e+01 5.422569000000000017e+01 1.911673700000000053e+02 1.562000000000000000e+12 1.214200000000000000e+12 2.009123639309539910e-01
3.843970000000000198e+01 8.479601999999999862e+01 1.940085599999999886e+02 1.580400000000000000e+12 1.223100000000000000e+12 1.622896601121009974e-01
1.467154000000000025e+01 7.727134999999999820e+01 1.654887799999999913e+02 1.534700000000000000e+12 1.270600000000000000e+12 2.223604044169214533e-01
2.348489999999999966e+00 9.499792999999999665e+01 1.948326600000000042e+02 1.532200000000000000e+12 1.245900000000000000e+12 9.376780717230162043e-01
1.964220999999999862e+01 5.261166000000000054e+01 1.968204700000000003e+02 1.594900000000000000e+12 1.237700000000000000e+12 1.360633111042106047e-01
1.799639999999999906e+00 9.493787000000000376e+01 1.957740599999999915e+02 1.523300000000000000e+12 1.140800000000000000e+12 4.148226382407218527e-01
