  0.207562E-03  0.116473E+08  0.116472E+08  0.128002E+08  0.127300E+08  0.000000E+00  0.116473E+08
  0.284215E-03  0.149030E+08  0.149028E+08  0.137979E+08  0.136582E+08  0.000000E+00  0.149030E+08
  0.359507E-03  0.162927E+08  0.162923E+08  0.120662E+08  0.118635E+08  0.000000E+00  0.162926E+08
  0.434146E-03  0.170149E+08  0.170142E+08  0.955904E+07  0.931411E+07  0.000000E+00  0.170148E+08
  0.508420E-03  0.174360E+08  0.174351E+08  0.705028E+07  0.679131E+07  0.000000E+00  0.174358E+08
  0.656367E-03  0.178746E+08  0.178733E+08  0.329854E+07  0.309281E+07  0.000000E+00  0.178744E+08
  0.730163E-03  0.179934E+08  0.179918E+08  0.221523E+07  0.206220E+07  0.000000E+00  0.179931E+08
  0.951167E-03  0.181736E+08  0.181713E+08  0.109689E+07  0.108585E+07  0.000000E+00  0.181732E+08
  0.109831E-02  0.182184E+08  0.182158E+08  0.923947E+06  0.939632E+06  0.000000E+00  0.182181E+08
  0.139237E-02  0.182290E+08  0.182260E+08  0.396183E+06  0.385807E+06  0.000000E+00  0.182286E+08
  0.168624E-02  0.181873E+08  0.181840E+08  0.217859E+06  0.000000E+00  0.000000E+00  0.181868E+08
  0.205344E-02  0.180999E+08  0.180966E+08  0.798164E+05  0.000000E+00  0.000000E+00  0.180994E+08
  0.249398E-02  0.179681E+08  0.179647E+08  0.510463E+05  0.000000E+00  0.000000E+00  0.179676E+08
  0.308126E-02  0.177682E+08  0.177646E+08  0.197994E+05  0.000000E+00  0.000000E+00  0.177677E+08
  0.374187E-02  0.175259E+08  0.175218E+08 -0.253754E+04  0.000000E+00  0.000000E+00  0.175253E+08
  0.454922E-02  0.172173E+08  0.172128E+08 -0.364060E+04  0.000000E+00  0.000000E+00  0.172167E+08
  0.557671E-02  0.168164E+08  0.168111E+08 -0.521381E+04  0.000000E+00  0.000000E+00  0.168157E+08
  0.675094E-02  0.163567E+08  0.163501E+08 -0.384838E+04  0.000000E+00  0.000000E+00  0.163558E+08
  0.829208E-02  0.157597E+08  0.157515E+08 -0.305120E+04  0.000000E+00  0.000000E+00  0.157586E+08
  0.100534E-01  0.150939E+08  0.150833E+08  0.327049E+04  0.000000E+00  0.000000E+00  0.150924E+08
  0.122549E-01  0.142892E+08  0.142753E+08 -0.221361E+03  0.000000E+00  0.000000E+00  0.142873E+08
  0.149702E-01  0.133459E+08  0.133275E+08  0.825170E+03  0.000000E+00  0.000000E+00  0.133434E+08
  0.182725E-01  0.122628E+08  0.122388E+08 -0.838193E+03  0.000000E+00  0.000000E+00  0.122595E+08
  0.223086E-01  0.110429E+08  0.110124E+08 -0.303426E+02  0.000000E+00  0.000000E+00  0.110388E+08
  0.267851E-01  0.982247E+07  0.978587E+07  0.142590E+03  0.000000E+00  0.000000E+00  0.981747E+07
  0.311882E-01  0.876530E+07  0.872474E+07  0.496600E+02  0.000000E+00  0.000000E+00  0.875976E+07
  0.356646E-01  0.783987E+07  0.779770E+07  0.218795E+02  0.000000E+00  0.000000E+00  0.783411E+07
  0.401410E-01  0.706234E+07  0.702099E+07  0.266873E+02  0.000000E+00  0.000000E+00  0.705669E+07
  0.446175E-01  0.641981E+07  0.638136E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.641456E+07
  0.490205E-01  0.590794E+07  0.587380E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.590328E+07
  0.534970E-01  0.548618E+07  0.545717E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.548222E+07
  0.579734E-01  0.513656E+07  0.511266E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.513330E+07
  0.624498E-01  0.483576E+07  0.481634E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.483311E+07
  0.668529E-01  0.457108E+07  0.455502E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.456888E+07
  0.713293E-01  0.431951E+07  0.430561E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.431761E+07
  0.758057E-01  0.407479E+07  0.406183E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.407302E+07
  0.802822E-01  0.383320E+07  0.382016E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.383142E+07
  0.846852E-01  0.360093E+07  0.358717E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.359905E+07
  0.891616E-01  0.337567E+07  0.336092E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.337366E+07
  0.936381E-01  0.316669E+07  0.315106E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.316455E+07
  0.100243E+00  0.289551E+07  0.287935E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.289330E+07
  0.106847E+00  0.267342E+07  0.265799E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.267132E+07
  0.113452E+00  0.249890E+07  0.248528E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.249704E+07
  0.120056E+00  0.236118E+07  0.234988E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.235964E+07
  0.126661E+00  0.224398E+07  0.223482E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.224273E+07
  0.133192E+00  0.213366E+07  0.212596E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.213261E+07
  0.139797E+00  0.201890E+07  0.201180E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.201793E+07
  0.146401E+00  0.189986E+07  0.189263E+07  0.000000E+00  0.000000E+00  0.000000E+00  0.189887E+07
